ADC1 ADC2 ADC3 ADC4 ADC5 ADC6 ADC7 ADC8 ADC9 ADC10 ADC11 ADC12 ADC13 ADC14 ADC15 ADC16 ADC17 ADC18 ADC19 T1 T2 T3 T4 T5 T6 T7 T8 T9 T10 T11 T12 T13 T14 T15 T16 T17 T18 T19 
642 642 634 626 640 648 649 655 645 0 4095 4095 4095 4095 0 0 2717 0 384 -91,40 -60,46 -43,06 -60,61 -59,83 -60,54 -60,13 -60,65 -67,04 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,15 0.00 234,38 
641 639 633 634 636 644 648 653 647 0 4095 4095 4095 4095 0 0 2719 0 384 -91,46 -60,57 -43,10 -60,30 -59,99 -60,70 -60,17 -60,73 -66,95 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,40 0.00 234,38 
649 647 640 635 642 638 641 644 639 0 4095 4095 4095 4095 0 0 2717 0 400 -90,98 -60,26 -42,87 -60,26 -59,75 -60,94 -60,45 -61,09 -67,31 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,15 0.00 244,14 
643 641 633 625 643 644 647 654 648 0 4095 4095 4095 4095 0 0 2719 0 368 -91,34 -60,49 -43,10 -60,65 -59,71 -60,70 -60,21 -60,69 -66,91 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,40 0.00 224,61 
643 639 630 627 634 645 650 654 643 0 4095 4095 4095 4095 0 0 2721 0 400 -91,34 -60,57 -43,19 -60,57 -60,07 -60,66 -60,09 -60,69 -67,13 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,64 0.00 244,14 
645 642 633 625 640 644 648 656 643 0 4095 4095 4095 4095 0 0 2723 0 368 -91,22 -60,46 -43,10 -60,65 -59,83 -60,70 -60,17 -60,61 -67,13 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,89 0.00 224,61 
641 642 631 629 636 643 648 654 645 0 4095 4095 4095 4095 0 0 2721 0 400 -91,46 -60,46 -43,16 -60,49 -59,99 -60,74 -60,17 -60,69 -67,04 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,64 0.00 244,14 
651 647 642 631 643 646 646 646 636 0 4095 4095 4095 4095 0 0 2725 0 384 -90,86 -60,26 -42,81 -60,41 -59,71 -60,62 -60,25 -61,01 -67,44 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,14 0.00 234,38 
650 645 639 633 637 638 640 654 636 0 4095 4095 4095 4095 0 0 2719 0 368 -90,92 -60,34 -42,90 -60,34 -59,95 -60,94 -60,49 -60,69 -67,44 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,40 0.00 224,61 
650 645 642 632 643 639 641 646 639 0 4095 4095 4095 4095 0 0 2715 0 352 -90,92 -60,34 -42,81 -60,37 -59,71 -60,90 -60,45 -61,01 -67,31 ,00 10,23 249,94 249,94 249,94 0.00 0.00 60,91 0.00 214,84 
646 647 634 628 643 644 648 656 644 0 4095 4095 4095 4095 0 0 2720 0 400 -91,16 -60,26 -43,06 -60,53 -59,71 -60,70 -60,17 -60,61 -67,09 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,52 0.00 244,14 
644 639 641 632 635 637 642 654 648 0 4095 4095 4095 4095 0 0 2719 0 368 -91,28 -60,57 -42,84 -60,37 -60,03 -60,98 -60,41 -60,69 -66,91 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,40 0.00 224,61 
643 639 642 633 636 638 643 652 641 0 4095 4095 4095 4095 0 0 2719 0 368 -91,34 -60,57 -42,81 -60,34 -59,99 -60,94 -60,37 -60,77 -67,22 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,40 0.00 224,61 
647 640 641 633 633 638 641 654 643 0 4095 4095 4095 4095 0 0 2720 0 384 -91,10 -60,53 -42,84 -60,34 -60,11 -60,94 -60,45 -60,69 -67,13 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,52 0.00 234,38 
644 639 634 626 635 645 648 656 646 0 4095 4095 4095 4095 0 0 2717 0 400 -91,28 -60,57 -43,06 -60,61 -60,03 -60,66 -60,17 -60,61 -67,00 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,15 0.00 244,14 
650 645 636 625 643 646 649 647 646 0 4095 4095 4095 4095 0 0 2725 0 416 -90,92 -60,34 -43,00 -60,65 -59,71 -60,62 -60,13 -60,97 -67,00 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,14 0.00 253,91 
650 648 641 632 641 639 641 646 639 0 4095 4095 4095 4095 0 0 2722 0 400 -90,92 -60,22 -42,84 -60,37 -59,79 -60,90 -60,45 -61,01 -67,31 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,77 0.00 244,14 
644 641 640 633 634 641 647 655 646 0 4095 4095 4095 4095 0 0 2721 0 384 -91,28 -60,49 -42,87 -60,34 -60,07 -60,82 -60,21 -60,65 -67,00 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,64 0.00 234,38 
652 647 639 635 640 638 642 654 639 0 4095 4095 4095 4095 0 0 2718 0 416 -90,80 -60,26 -42,90 -60,26 -59,83 -60,94 -60,41 -60,69 -67,31 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,27 0.00 253,91 
650 641 643 635 637 640 642 655 645 0 4095 4095 4095 4095 0 0 2724 0 384 -90,92 -60,49 -42,77 -60,26 -59,95 -60,86 -60,41 -60,65 -67,04 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,01 0.00 234,38 
644 640 640 635 634 637 641 653 645 0 4095 4095 4095 4095 0 0 2723 0 384 -91,28 -60,53 -42,87 -60,26 -60,07 -60,98 -60,45 -60,73 -67,04 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,89 0.00 234,38 
642 641 630 627 638 646 648 654 645 0 4095 4095 4095 4095 0 0 2724 0 384 -91,40 -60,49 -43,19 -60,57 -59,91 -60,62 -60,17 -60,69 -67,04 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,01 0.00 234,38 
650 649 635 626 643 644 651 655 647 0 4095 4095 4095 4095 0 0 2723 0 400 -90,92 -60,18 -43,03 -60,61 -59,71 -60,70 -60,05 -60,65 -66,95 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,89 0.00 244,14 
645 640 632 627 635 645 649 655 649 0 4095 4095 4095 4095 0 0 2724 0 400 -91,22 -60,53 -43,13 -60,57 -60,03 -60,66 -60,13 -60,65 -66,86 ,00 10,23 249,94 249,94 249,94 0.00 0.00 62,01 0.00 244,14 
652 648 643 633 637 639 645 649 639 0 4095 4095 4095 4095 0 0 2722 0 416 -90,80 -60,22 -42,77 -60,34 -59,95 -60,90 -60,29 -60,89 -67,31 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,77 0.00 253,91 
651 646 641 633 642 637 643 647 639 0 4095 4095 4095 4095 0 0 2722 0 416 -90,86 -60,30 -42,84 -60,34 -59,75 -60,98 -60,37 -60,97 -67,31 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,77 0.00 253,91 
651 647 639 627 641 647 650 646 642 0 4095 4095 4095 4095 0 0 2721 0 368 -90,86 -60,26 -42,90 -60,57 -59,79 -60,58 -60,09 -61,01 -67,18 ,00 10,23 249,94 249,94 249,94 0.00 0.00 61,64 0.00 224,61 
